VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1715561280055	-0.039446	0.042232	-0.696314	0.914665	-0.0115987	0.0149681	-0.40377	0.5	-0.152243	0	0	0	426.253	-0.375876	img_PhysXCar__0_1715561280053215900.png
PhysXCar	1715561284320	-0.117651	0.135593	-0.714106	0.915923	-0.00417036	0.00446384	-0.401308	0.5	-0.17344	0	0	0	1070.56	-0.375055	img_PhysXCar__0_1715561284318827200.png
PhysXCar	1715561288592	-0.189168	0.224991	-0.718572	0.917381	-0.000245035	0.000845048	-0.39801	0.5	-0.198695	0	1	0	893.571	0.176065	img_PhysXCar__0_1715561288579200300.png
PhysXCar	1715561292870	-0.112708	0.134347	-0.720233	0.916386	0.00109102	0.00179044	-0.400289	0.5	0.166597	0	1	0	795.244	1.12699	img_PhysXCar__0_1715561292869540100.png
PhysXCar	1715561297150	0.161961	-0.111128	-0.72034	0.921673	-0.000109768	0.0016592	-0.387965	0.5	0.50325	0	1	0	931.726	1.61405	img_PhysXCar__0_1715561297148814100.png
PhysXCar	1715561301421	0.582107	-0.399269	-0.720205	0.935108	-0.00113427	0.00145293	-0.354359	0.5	0.664033	0	1	0	1091.47	1.95242	img_PhysXCar__0_1715561301419778100.png
PhysXCar	1715561305764	1.13787	-0.667744	-0.720026	0.95426	-0.00183554	0.00130044	-0.298971	0.5	0.642569	0	1	0	1231.65	2.28519	img_PhysXCar__0_1715561305763455700.png
PhysXCar	1715561310068	1.81118	-0.920187	-0.719893	0.970288	-0.00152737	0.00106021	-0.241948	0.5	0.433584	0	1	0	1341.1	2.63946	img_PhysXCar__0_1715561310067304300.png
PhysXCar	1715561314326	2.58237	-1.18976	-0.71975	0.979078	-0.00058207	0.000801103	-0.203481	0.5	0.16044	0	1	0	1429.33	2.95883	img_PhysXCar__0_1715561314325483500.png
PhysXCar	1715561318630	3.42586	-1.51418	-0.719562	0.981252	0.000489709	0.000511311	-0.192729	0.5	-0.0499564	0	1	0	1508.47	3.21612	img_PhysXCar__0_1715561318629056500.png
PhysXCar	1715561322879	4.32034	-1.90927	-0.719331	0.979449	0.000937831	0.000311371	-0.20169	0.5	-0.0847386	0	1	0	1581.08	3.43767	img_PhysXCar__0_1715561322878604500.png
PhysXCar	1715561327191	5.26197	-2.3574	-0.719087	0.9768	0.000929442	0.000207264	-0.214152	0.5	-0.160947	0	1	0	1646.38	3.62801	img_PhysXCar__0_1715561327189090700.png
PhysXCar	1715561331484	6.22649	-2.8843	-0.718802	0.971478	0.00148353	-2.84007e-05	-0.237124	0.5	-0.381402	0	1	0	1705.31	3.78062	img_PhysXCar__0_1715561331483372600.png
PhysXCar	1715561335792	7.16672	-3.53709	-0.718505	0.959835	0.00253527	-0.00049153	-0.280554	0.5	-0.206927	0	1	0	1753.74	3.93198	img_PhysXCar__0_1715561335790657600.png
PhysXCar	1715561338702	7.80576	-4.00127	-0.718357	0.955461	0.0011188	-4.13242e-05	-0.295116	0.5	0.0737686	0	1	0	1783.47	4.0407	img_PhysXCar__0_1715561338700951800.png
PhysXCar	1715561343013	0	0	-0	0.914894	0	-0	-0.403695	0.5	0.335758	0	1	0	1822.06	4.02741	img_PhysXCar__0_1715561343011756400.png
