VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1718659994966	0.700154	-0.0700894	-0.797847	0.950928	-0.0030141	-0.000550416	-0.309398	0.5	0.65177	0	1	0	1794.54	3.27225	img_PhysXCar__0_1718659994965196000.png
PhysXCar	1718659999634	1.57161	-0.577673	-0.731417	0.958465	0.00527971	-0.000993505	-0.285158	0.5	0.629387	0	1	0	1733.76	3.58998	img_PhysXCar__0_1718659999632538000.png
PhysXCar	1718660004231	2.57417	-1.00886	-0.722636	0.973693	-0.0016962	0.000798751	-0.227858	0.5	0.431515	0	1	0	1751.8	3.77901	img_PhysXCar__0_1718660004226984300.png
PhysXCar	1718660008845	3.66398	-1.38262	-0.720233	0.982427	-0.00122849	0.000650863	-0.18664	0.5	-0.0655384	0	1	0	1778.78	3.98374	img_PhysXCar__0_1718660008843015600.png
PhysXCar	1718660013317	4.76588	-1.8635	-0.719395	0.979448	0.00171718	-6.35082e-05	-0.20169	0.5	-0.277881	0	1	0	1813.43	4.10638	img_PhysXCar__0_1718660013315067900.png
PhysXCar	1718660017995	5.83816	-2.48454	-0.718943	0.969422	0.00294684	-0.000575043	-0.245382	0.5	-0.566805	0	1	0	1850.84	4.19955	img_PhysXCar__0_1718660017992717900.png
PhysXCar	1718660022544	6.85232	-3.24979	-0.718585	0.954064	0.0031806	-0.000880466	-0.299583	0.5	-0.165361	0	1	0	1881.81	4.33185	img_PhysXCar__0_1718660022541439700.png
PhysXCar	1718660027044	7.90113	-4.02664	-0.718305	0.951991	-0.000462883	0.000318708	-0.306126	0.5	0.337979	0	1	0	1906.64	4.41665	img_PhysXCar__0_1718660027043343600.png
PhysXCar	1718660031697	9.05904	-4.67811	-0.718069	0.964799	-0.00326502	0.000996052	-0.262966	0.5	0.370553	0	1	0	1933.61	4.47711	img_PhysXCar__0_1718660031694809300.png
PhysXCar	1718660036487	10.29	-5.24105	-0.717969	0.973989	-0.00167488	0.00059294	-0.226589	0.5	-0.126649	0	1	0	1952.24	4.57901	img_PhysXCar__0_1718660036484475300.png
PhysXCar	1718660040918	11.4934	-5.90913	-0.717894	0.968637	0.00203119	-0.00036683	-0.248473	0.5	-0.327939	0	1	0	1972.03	4.62398	img_PhysXCar__0_1718660040916520300.png
PhysXCar	1718660045807	12.6446	-6.69734	-0.717934	0.958518	0.0022109	-0.000438725	-0.285023	0.5	0.175706	0	1	0	1988.2	4.70773	img_PhysXCar__0_1718660045806028200.png
PhysXCar	1718660050260	13.8476	-7.442	-0.718128	0.961985	-0.00113153	0.000647202	-0.273098	0.5	0.477766	0	1	0	2004.09	4.74531	img_PhysXCar__0_1718660050258839700.png
PhysXCar	1718660054749	15.14	-8.04159	-0.718522	0.974691	-0.00372844	0.00107365	-0.223521	0.5	0.434832	0	1	0	2021.83	4.75644	img_PhysXCar__0_1718660054747728400.png
PhysXCar	1718660059514	16.5131	-8.44872	-0.71902	0.987422	-0.00420485	0.000893834	-0.158046	0.5	0.0969415	0	1	0	2033.02	4.82354	img_PhysXCar__0_1718660059511097500.png
PhysXCar	1718660063933	5.37889	-0.931644	-0.71913	0.999971	-0.00731388	-4.52568e-05	-0.00197006	0.5	0.247982	0	1	0	2020.76	4.60463	img_PhysXCar__0_1718660063931965200.png
