VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1715608811976	-0.0573368	0.00841162	-0.696811	0.996655	-0.0155508	0.0101271	-0.0795891	0.5	0.0921552	0	0	0	426.253	-0.378007	img_PhysXCar__0_1715608811970800600.png
PhysXCar	1715608816386	-0.139506	0.0176238	-0.710839	0.996669	-0.00858089	0.00441997	-0.0809747	0.5	0.101056	0	0	0	859.157	-0.377744	img_PhysXCar__0_1715608816385012500.png
PhysXCar	1715608819750	-0.255607	0.0317262	-0.717734	0.996534	-0.00129333	0.00107409	-0.0831753	0.5	0.117126	0	1	0	1050.24	-0.334143	img_PhysXCar__0_1715608819740848400.png
PhysXCar	1715608824227	-0.251447	0.03216	-0.71997	0.996569	2.16736e-06	0.00200566	-0.0827375	0.5	-0.000525105	0	1	0	780.02	0.893222	img_PhysXCar__0_1715608824226393700.png
PhysXCar	1715608828642	0.0469499	-0.0291024	-0.720366	0.996182	0.000606302	0.00167384	-0.0872783	0.5	-0.247103	0	1	0	878.016	1.48078	img_PhysXCar__0_1715608828640844600.png
PhysXCar	1715608833080	0.495746	-0.168	-0.720282	0.99406	0.00114997	0.00103369	-0.108823	0.5	-0.367065	0	1	0	1032.69	1.88826	img_PhysXCar__0_1715608833079042300.png
PhysXCar	1715608837464	1.04556	-0.386179	-0.720123	0.989929	0.0013081	0.000695459	-0.141556	0.5	-0.369317	0	1	0	1173.67	2.24738	img_PhysXCar__0_1715608837462319400.png
PhysXCar	1715608841943	1.67975	-0.678061	-0.719967	0.984466	0.00116576	0.000551881	-0.175568	0.5	-0.270067	0	1	0	1292.63	2.58197	img_PhysXCar__0_1715608841941567200.png
PhysXCar	1715608846350	2.39337	-1.02777	-0.719801	0.979504	0.00078225	0.000526401	-0.201423	0.5	-0.137202	0	1	0	1393.32	2.88288	img_PhysXCar__0_1715608846348810700.png
PhysXCar	1715608850718	3.18705	-1.41019	-0.719617	0.977114	0.000164591	0.000579666	-0.212718	0.5	-0.0064058	0	1	0	1480.62	3.14512	img_PhysXCar__0_1715608850716790000.png
PhysXCar	1715608855048	4.05928	-1.80405	-0.719391	0.977507	-0.000268261	0.000582578	-0.2109	0.5	0.0457776	0	1	0	1557.82	3.37387	img_PhysXCar__0_1715608855047068700.png
PhysXCar	1715608859406	4.99975	-2.21001	-0.719157	0.978653	-0.000198141	0.000487067	-0.205519	0.5	-0.127917	0	1	0	1626.32	3.56847	img_PhysXCar__0_1715608859404598100.png
PhysXCar	1715608863742	5.96219	-2.70176	-0.718882	0.974174	0.0015811	-2.43177e-05	-0.225792	0.5	-0.466445	0	1	0	1687.63	3.72348	img_PhysXCar__0_1715608863740834700.png
PhysXCar	1715608868125	6.89518	-3.33346	-0.71858	0.961887	0.00300164	-0.000633776	-0.27343	0.5	-0.306192	0	1	0	1742.17	3.87569	img_PhysXCar__0_1715608868123797500.png
PhysXCar	1715608872545	7.84022	-4.03216	-0.71835	0.954405	0.000725802	8.2064e-05	-0.298512	0.5	0.137302	0	1	0	1783.36	4.03235	img_PhysXCar__0_1715608872543291500.png
PhysXCar	1715608876957	8.88616	-4.65222	-0.71814	0.962425	-0.00218874	0.000879932	-0.271536	0.5	0.342507	0	1	0	1823.78	4.13409	img_PhysXCar__0_1715608876956191500.png
PhysXCar	1715608881187	-6.10352e-05	2.68555e-05	-0.721694	0.979102	1.16427e-05	-8.18626e-05	-0.20337	0.5	0.0141529	0	1	0	1856.45	4.27399	img_PhysXCar__0_1715608881185535700.png
