VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1718659716281	0.939537	-0.311533	-0.797561	0.993159	0.00849158	-0.00116119	-0.116458	0.5	-1.41883	0	1	0	2101.94	4.89633	img_PhysXCar__0_1718659716280265900.png
PhysXCar	1718659720609	2.24988	-0.980977	-0.731115	0.976056	0.00680169	-0.00191692	-0.217403	0.5	-0.640029	0	1	0	2103.35	4.89078	img_PhysXCar__0_1718659720606657100.png
PhysXCar	1718659724933	3.44447	-1.86122	-0.722306	0.955882	0.00429956	-0.00141504	-0.293716	0.5	0.483402	0	1	0	2093.84	5.00587	img_PhysXCar__0_1718659724931501700.png
PhysXCar	1718659729298	4.66756	-2.73288	-0.72056	0.954243	-0.000457884	8.40236e-05	-0.299033	0.5	1.20644	0	1	0	2097.39	5.01864	img_PhysXCar__0_1718659729296862600.png
PhysXCar	1718659733666	5.97622	-3.47494	-0.719534	0.965819	-0.00334698	0.00077449	-0.259196	0.5	0.553876	0	1	0	2100.29	4.99956	img_PhysXCar__0_1718659733662931200.png
PhysXCar	1718659737994	7.3707	-4.04937	-0.719136	0.978409	-0.00318926	0.000599288	-0.206652	0.5	-0.0883993	0	1	0	2129.02	4.99569	img_PhysXCar__0_1718659737992393000.png
PhysXCar	1718659742330	8.73338	-4.68452	-0.718815	0.975717	0.00157592	-0.000367996	-0.219029	0.5	-0.435849	0	1	0	2110.02	4.99605	img_PhysXCar__0_1718659742328457200.png
PhysXCar	1718659746643	10.0115	-5.48698	-0.718629	0.963197	0.00358301	-0.000958091	-0.26877	0.5	-0.149751	0	1	0	2118.04	5.03723	img_PhysXCar__0_1718659746640856900.png
PhysXCar	1718659750976	11.2865	-6.2996	-0.718499	0.961608	-0.000197915	2.46217e-05	-0.274427	0.5	0.361317	0	1	0	2122.41	5.04563	img_PhysXCar__0_1718659750972762700.png
PhysXCar	1718659755300	12.6331	-6.98194	-0.718465	0.971704	-0.00315633	0.000776313	-0.236181	0.5	0.424035	0	1	0	2119.71	5.01998	img_PhysXCar__0_1718659755298579100.png
PhysXCar	1718659759587	14.0483	-7.51576	-0.718784	0.981525	-0.00239223	0.000667114	-0.191318	0.5	0.0176978	0	1	0	2128.83	5.03618	img_PhysXCar__0_1718659759585689500.png
PhysXCar	1718659763860	15.432	-8.1217	-0.719294	0.978368	0.0018083	-0.000148645	-0.206864	0.5	-0.315349	0	1	0	2119.98	5.06205	img_PhysXCar__0_1718659763858786900.png
PhysXCar	1718659768168	16.7679	-8.83191	-0.719829	0.972489	0.00114529	-8.31731e-05	-0.232948	0.5	0.325493	0	1	0	2140.53	4.98922	img_PhysXCar__0_1718659768163904600.png
PhysXCar	1718659772534	18.151	-9.43846	-0.72027	0.97838	-0.0022088	0.000675288	-0.206801	0.5	1.16631	0	1	0	2120.82	5.00341	img_PhysXCar__0_1718659772532044200.png
PhysXCar	1718659776786	19.6071	-9.83953	-0.720814	0.989809	-0.0049539	0.000832095	-0.142312	0.5	1.19331	0	1	0	2118.01	4.99652	img_PhysXCar__0_1718659776783848900.png
PhysXCar	1718659780696	3.18274	-0.59739	-0.719159	0.997709	-0.0042619	7.61813e-05	-0.0675104	0.5	0.719209	0	1	0	2123.47	4.94906	img_PhysXCar__0_1718659780694560700.png
