VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1713560261105	4.18234	-2.82106	-0.718802	0.932922	-0.000516252	-0.00100769	-0.360075	0	0	0	1	0	595.753	2.44389	img_PhysXCar__0_1713560261104236200.png
PhysXCar	1713560265723	4.70757	-3.29792	-0.718654	0.932918	-0.000754167	-0.000902957	-0.360086	0	0	0	1	0	493.947	2.04777	img_PhysXCar__0_1713560265716361900.png
PhysXCar	1713560270271	5.14773	-3.69717	-0.718543	0.932917	-0.000392742	-0.000924326	-0.360089	0.5	0.893374	0	1	0	518.706	1.67584	img_PhysXCar__0_1713560270268084400.png
PhysXCar	1713560275105	5.53438	-4.00656	-0.718507	0.937044	-0.00088421	-0.000421068	-0.349211	0.5	0.854756	0	1	0	928.38	1.62677	img_PhysXCar__0_1713560275104042800.png
PhysXCar	1713560279552	5.97137	-4.27095	-0.718624	0.947583	-0.00129584	0.000607837	-0.319507	0.5	0.839956	0	1	0	1096.39	1.94679	img_PhysXCar__0_1713560279550387200.png
PhysXCar	1713560284008	6.54007	-4.49811	-0.718547	0.964501	-0.00220671	0.00103478	-0.264067	0.5	0.722071	0	1	0	1234.17	2.24973	img_PhysXCar__0_1713560284007065400.png
PhysXCar	1713560288542	7.22808	-4.68744	-0.718464	0.979118	-0.00158151	0.000953119	-0.203283	0.5	0.37469	0	1	0	1339.64	2.63729	img_PhysXCar__0_1713560288541068600.png
PhysXCar	1713560292934	8.01097	-4.91311	-0.718367	0.985254	-0.000132989	0.000731571	-0.171095	0.5	0.0364856	0	1	0	1425.54	2.95495	img_PhysXCar__0_1713560292932992400.png
PhysXCar	1713560297322	8.85385	-5.22936	-0.71821	0.984193	0.0014166	0.000385722	-0.177096	0.5	-0.216957	0	1	0	1506.35	3.19278	img_PhysXCar__0_1713560297320916600.png
PhysXCar	1713560301770	9.7297	-5.65114	-0.718098	0.978697	0.00180656	0.000177259	-0.2053	0.5	-0.202844	0	1	0	1580.14	3.41527	img_PhysXCar__0_1713560301769330700.png
PhysXCar	1713560306209	10.6491	-6.13345	-0.718027	0.974049	0.000915603	0.000307875	-0.226333	0.5	-0.0558199	0	1	0	1643.7	3.62299	img_PhysXCar__0_1713560306208407800.png
