VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1712877034660	-6.05011e-05	2.65217e-05	-0.722146	0.979102	1.1657e-05	-8.13177e-05	-0.203371	0	0	0	0	0	0	0	img_PhysXCar__0_1712877034658661700.png
PhysXCar	1712877038693	-6.21223e-05	2.71797e-05	-0.720663	0.979102	1.14531e-05	-8.2919e-05	-0.203371	0	0	0	0	0	67.178	1.54755e-06	img_PhysXCar__0_1712877038691424700.png
PhysXCar	1712877042768	-6.25992e-05	2.74277e-05	-0.72022	0.979102	1.11601e-05	-8.39539e-05	-0.203371	1	0	0	0	0	286.689	4.41216e-07	img_PhysXCar__0_1712877042737459900.png
PhysXCar	1712877046557	-6.27518e-05	2.74992e-05	-0.720082	0.979102	1.11601e-05	-8.39539e-05	-0.203371	1	0	0	0	0	1252.42	4.85524e-07	img_PhysXCar__0_1712877046555931300.png
PhysXCar	1712877050436	0.0134143	-0.00582256	-0.720229	0.979102	0.000143594	0.000553618	-0.20337	1	0	0	1	0	1445.41	0.761291	img_PhysXCar__0_1712877050434415700.png
PhysXCar	1712877054277	0.287743	-0.124912	-0.72064	0.979101	0.000466002	0.00211194	-0.203361	1	0	0	1	0	2111.13	1.91007	img_PhysXCar__0_1712877054275988500.png
PhysXCar	1712877058025	0.869752	-0.377568	-0.720572	0.979103	0.000497156	0.00229169	-0.20335	1	0	0	1	0	2806.16	2.94798	img_PhysXCar__0_1712877058023223700.png
PhysXCar	1712877061776	1.73417	-0.752797	-0.720384	0.979107	0.000484978	0.00224223	-0.203335	0	-1	0	1	0	3181.49	3.92172	img_PhysXCar__0_1712877061775469000.png
PhysXCar	1712877065680	2.82273	-1.29703	-0.720033	0.974492	0.00210637	0.00138499	-0.224408	0	-1	0	1	0	1793.48	4.41415	img_PhysXCar__0_1712877065678664400.png
PhysXCar	1712877069505	3.91834	-2.0104	-0.719298	0.962639	0.00281187	-0.000645417	-0.270771	0	1	0	1	0	1140.32	4.08244	img_PhysXCar__0_1712877069503126300.png
PhysXCar	1712877073302	4.9316	-2.63118	-0.718721	0.963334	-0.00103201	-0.000763363	-0.268303	0	1	0	1	0	870.357	3.48451	img_PhysXCar__0_1712877073299879200.png
PhysXCar	1712877077083	5.84424	-3.06803	-0.718367	0.971158	-0.00193967	-0.000960946	-0.238427	1	0	0	1	0	994.904	2.97252	img_PhysXCar__0_1712877077081467600.png
PhysXCar	1712877080983	6.63166	-3.48115	-0.718347	0.970825	0.00033731	-0.000831053	-0.239786	1	0	0	1	0	1226.73	2.92441	img_PhysXCar__0_1712877080982069800.png
