VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1713655036922	10.7651	-5.1302	-0.717615	0.974384	-0.000203074	-0.0010136	-0.224886	0.5	-0.358845	0	1	0	560.055	1.84169	img_PhysXCar__0_1713655036920745400.png
PhysXCar	1713655041629	11.2394	-5.39866	-0.717689	0.971483	0.0006534	-0.000845412	-0.237105	0.5	-0.346441	0	1	0	943.852	1.77681	img_PhysXCar__0_1713655041627976900.png
PhysXCar	1713655044592	11.5379	-5.6064	-0.717848	0.967098	0.00109207	-0.000316738	-0.254403	0.5	-0.306556	0	1	0	1078.64	2.01463	img_PhysXCar__0_1713655044591012400.png
PhysXCar	1713655049057	12.0458	-5.97845	-0.717989	0.960381	0.000837576	0.000393161	-0.278688	0.5	-0.175504	0	1	0	1209.65	2.37684	img_PhysXCar__0_1713655049056186300.png
PhysXCar	1713655053364	12.6498	-6.39327	-0.718086	0.958164	-0.000158754	0.000856799	-0.286217	0.5	0.0760559	0	1	0	1321.13	2.69135	img_PhysXCar__0_1713655053362600800.png
PhysXCar	1713655058096	13.3571	-6.81582	-0.71819	0.961475	-0.000637694	0.00101507	-0.274888	0.5	0.132852	0	1	0	1419.45	2.96518	img_PhysXCar__0_1713655058092386800.png
PhysXCar	1713655063080	14.153	-7.24546	-0.7183	0.966386	-0.000809989	0.00103771	-0.257092	0.5	0.198427	0	1	0	1505.99	3.2036	img_PhysXCar__0_1713655063079196700.png
PhysXCar	1713655067986	15.0336	-7.6658	-0.718608	0.971929	-0.000710994	0.000948802	-0.235271	0.5	0.0880849	0	1	0	1579.91	3.43034	img_PhysXCar__0_1713655067982135300.png
PhysXCar	1713655072742	15.9748	-8.11012	-0.718955	0.974459	-0.000296122	0.000783282	-0.224562	0.5	0.173702	0	1	0	1644.79	3.61871	img_PhysXCar__0_1713655072740668100.png
PhysXCar	1713655077035	16.991	-8.52389	-0.719315	0.979203	-0.00092921	0.000847245	-0.202879	0.5	0.587082	0	1	0	1702.3	3.78609	img_PhysXCar__0_1713655077033155100.png
PhysXCar	1713655081225	18.0842	-8.85955	-0.719664	0.986573	-0.00247165	0.000914365	-0.163298	0.5	0.469921	0	1	0	1757.11	3.88844	img_PhysXCar__0_1713655081223487800.png
PhysXCar	1713655085355	19.251	-9.02078	-0.720089	0.995449	-0.00391135	0.000785409	-0.0952126	0.5	0.347302	0	1	0	1802.9	4.03152	img_PhysXCar__0_1713655085354295600.png
PhysXCar	1713655089495	20.468	-9.13602	-0.720559	0.997948	-0.000694163	0.000602328	-0.0640259	0.5	-0.257962	0	1	0	1833.28	4.17684	img_PhysXCar__0_1713655089493890600.png
PhysXCar	1713655093631	21.7004	-9.38864	-0.721053	0.995562	0.00266913	0.000191499	-0.0940683	0.5	-0.397034	0	1	0	1866.54	4.25356	img_PhysXCar__0_1713655093629788700.png
PhysXCar	1713655097768	22.9268	-9.78285	-0.721505	0.990341	0.0025282	9.68837e-05	-0.138632	0.5	-0.0244218	0	1	0	1893.49	4.38606	img_PhysXCar__0_1713655097767000400.png
PhysXCar	1713655101908	24.2019	-10.1205	-0.721955	0.991806	-0.00134929	0.000596271	-0.127745	0.5	0.143071	0	1	0	1917.82	4.46965	img_PhysXCar__0_1713655101907401500.png
PhysXCar	1713655105994	25.5181	-10.4067	-0.722437	0.993611	-0.000688854	0.000514235	-0.112858	0.5	-0.0732085	0	1	0	1940.27	4.55804	img_PhysXCar__0_1713655105992714500.png
PhysXCar	1713655110098	26.8446	-10.7562	-0.722789	0.992007	0.0010907	0.000211327	-0.126174	0.5	-0.0964283	0	1	0	1961.63	4.63429	img_PhysXCar__0_1713655110096634200.png
PhysXCar	1713655114151	28.1858	-11.1384	-0.723068	0.990881	0.000414933	0.000176732	-0.134738	0.5	0.395589	0	1	0	1981.3	4.70156	img_PhysXCar__0_1713655114150275000.png
PhysXCar	1713655118189	29.5646	-11.4439	-0.723091	0.993783	-0.0019218	0.000379432	-0.11132	0.5	0.454066	0	1	0	2001.09	4.72741	img_PhysXCar__0_1713655118187889300.png
PhysXCar	1713655122200	30.9807	-11.5818	-0.723125	0.998212	-0.00337513	0.000322089	-0.0596748	0.5	0.126952	0	1	0	2016.42	4.79146	img_PhysXCar__0_1713655122199358700.png
PhysXCar	1713655126145	32.4153	-11.7132	-0.723186	0.998725	-0.00027302	0.000185325	-0.0504893	0.5	-0.088621	0	1	0	2026.6	4.84315	img_PhysXCar__0_1713655126143749000.png
PhysXCar	1713655130132	33.8582	-11.907	-0.723191	0.997905	0.00118747	6.14299e-05	-0.0646778	0.5	0.633292	0	1	0	2038.04	4.88838	img_PhysXCar__0_1713655130131952300.png
PhysXCar	1713655132806	34.8297	-12.0145	-0.723157	0.998338	-0.000521242	0.00014335	-0.0576348	0.5	0.809886	0	1	0	2045.86	4.90074	img_PhysXCar__0_1713655132801361800.png
