VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1718659646730	0.959764	0.0290005	-0.797153	0.96021	-0.00191112	-0.0006481	-0.27927	0.5	1.26254	0	1	0	2097.46	4.38604	img_PhysXCar__0_1718659646728809400.png
PhysXCar	1718659651111	2.26776	-0.301595	-0.731234	0.985597	0.00390493	-0.000370171	-0.169063	0.5	0.103723	0	1	0	2051.43	4.60116	img_PhysXCar__0_1718659651108474100.png
PhysXCar	1718659655503	3.6398	-0.564939	-0.722481	0.993557	-0.000325838	0.000353381	-0.113332	0.5	-0.976214	0	1	0	2028.44	4.74697	img_PhysXCar__0_1718659655499750400.png
PhysXCar	1718659659782	5.01863	-0.92548	-0.719969	0.991674	0.00202152	-0.000133552	-0.12876	0.5	-1.44366	0	1	0	2028.62	4.78211	img_PhysXCar__0_1718659659779460100.png
PhysXCar	1718659664127	6.34247	-1.4805	-0.719046	0.982213	0.00439487	-0.000932653	-0.187716	0.5	-1.41842	0	1	0	2041.15	4.76341	img_PhysXCar__0_1718659664126480900.png
PhysXCar	1718659668560	7.52184	-2.29089	-0.718492	0.959936	0.00639463	-0.00222404	-0.280138	0.5	-1.21773	0	1	0	2057.86	4.69065	img_PhysXCar__0_1718659668556880900.png
PhysXCar	1718659672993	8.44869	-3.36634	-0.718162	0.919552	0.00704206	-0.003416	-0.39289	0.5	-0.111249	0	1	0	2064.6	4.76575	img_PhysXCar__0_1718659672984512200.png
PhysXCar	1718659677330	9.24615	-4.55802	-0.718041	0.891099	0.00336731	-0.00167167	-0.453794	0.5	1.33376	0	1	0	2057.19	4.88675	img_PhysXCar__0_1718659677329101200.png
PhysXCar	1718659681647	10.1116	-5.74281	-0.717941	0.893381	-0.000961074	0.000595695	-0.449298	0.5	2.07465	0	1	0	2058.56	4.91256	img_PhysXCar__0_1718659681645210800.png
PhysXCar	1718659685942	11.1193	-6.81836	-0.717824	0.914932	-0.00363678	0.00158411	-0.403589	0.5	2.14558	0	1	0	2068.45	4.8893	img_PhysXCar__0_1718659685935951800.png
PhysXCar	1718659690247	12.3048	-7.68343	-0.717797	0.946486	-0.00604693	0.00187396	-0.322683	0.5	1.88951	0	1	0	2081.85	4.81485	img_PhysXCar__0_1718659690245523600.png
PhysXCar	1718659694605	13.6534	-8.21123	-0.71794	0.978547	-0.00837015	0.00142873	-0.205849	0.5	1.14968	0	1	0	2095.52	4.69447	img_PhysXCar__0_1718659694603200100.png
PhysXCar	1718659698860	15.0847	-8.36079	-0.718442	0.996647	-0.00767412	0.000535037	-0.0814626	0.5	-0.232979	0	1	0	2089.09	4.85231	img_PhysXCar__0_1718659698856863000.png
PhysXCar	1718659703510	16.5535	-8.3797	-0.719041	0.999728	-0.00296265	0.000315317	-0.0231304	0.5	-1.26376	0	1	0	2076.85	4.95476	img_PhysXCar__0_1718659703508900600.png
PhysXCar	1718659707828	18.0353	-8.48853	-0.719553	0.999246	0.00197504	0.000179987	-0.0387677	0.5	-1.20574	0	1	0	2076.59	4.95883	img_PhysXCar__0_1718659707826925100.png
PhysXCar	1718659711996	2.20855	-0.439753	-0.721318	0.99716	-0.00591463	0.000565789	-0.0750714	0.5	-0.650568	0	1	0	2086.73	4.92475	img_PhysXCar__0_1718659711995671700.png
