VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1715786132596	5.16301	-2.11013	-0.719216	0.972142	5.69317e-05	0.000638334	-0.234394	0.5	-0.0348346	0	1	0	1448.24	3.03678	img_PhysXCar__0_1715786132593939500.png
PhysXCar	1715786137142	5.97448	-2.55408	-0.718955	0.970009	0.000932515	0.000308787	-0.243067	0.5	-0.323195	0	1	0	1528.83	3.26412	img_PhysXCar__0_1715786137141349700.png
PhysXCar	1715786142259	6.79305	-3.11336	-0.718678	0.960955	0.00217265	-0.00021677	-0.276695	0.5	-0.261767	0	1	0	1602.12	3.46701	img_PhysXCar__0_1715786142254629900.png
PhysXCar	1715786147070	7.63961	-3.74204	-0.718432	0.954166	0.000765646	0.000181699	-0.299276	0.5	0.0479674	0	1	0	1661.91	3.67073	img_PhysXCar__0_1715786147064480100.png
PhysXCar	1715786151686	8.57557	-4.33896	-0.718242	0.958693	-0.00134531	0.000782817	-0.284439	0.5	0.274142	0	1	0	1717.01	3.81935	img_PhysXCar__0_1715786151685640100.png
PhysXCar	1715786156237	9.60254	-4.87376	-0.718063	0.967644	-0.00165522	0.000815722	-0.252313	0.5	0.0955926	0	1	0	1764.28	3.9859	img_PhysXCar__0_1715786156234231000.png
PhysXCar	1715786160786	10.6614	-5.44639	-0.717998	0.968404	0.000515444	0.000229233	-0.249387	0.5	-0.137942	0	1	0	1805.4	4.11874	img_PhysXCar__0_1715786160785367600.png
PhysXCar	1715786165367	11.717	-6.1035	-0.717919	0.963325	0.00137424	-5.90075e-05	-0.268333	0.5	-0.0662193	0	1	0	1842.49	4.24531	img_PhysXCar__0_1715786165365786600.png
PhysXCar	1715786169865	12.8075	-6.77353	-0.717993	0.963042	-0.000195173	0.000419441	-0.269352	0.5	0.260697	0	1	0	1876.05	4.34509	img_PhysXCar__0_1715786169863576500.png
PhysXCar	1715786174433	13.9758	-7.36264	-0.718161	0.971088	-0.00212665	0.000927567	-0.238712	0.5	0.354086	0	1	0	1907.8	4.41257	img_PhysXCar__0_1715786174431521500.png
PhysXCar	1715786178943	15.2145	-7.85739	-0.718584	0.979446	-0.00186356	0.000804457	-0.201697	0.5	-0.0145503	0	1	0	1931.61	4.52045	img_PhysXCar__0_1715786178942004900.png
PhysXCar	1715786183320	16.4726	-8.37543	-0.719065	0.980664	-0.000172447	0.000451789	-0.195699	0.5	-0.00196467	0	1	0	1952.25	4.60148	img_PhysXCar__0_1715786183318846700.png
PhysXCar	1715786187656	17.7527	-8.90124	-0.719533	0.981202	-0.000278858	0.000438277	-0.19298	0.5	0.589475	0	1	0	1972.88	4.65557	img_PhysXCar__0_1715786187655420900.png
PhysXCar	1715786191990	19.0917	-9.30458	-0.720031	0.988295	-0.00294406	0.000753555	-0.152523	0.5	0.864197	0	1	0	1994.59	4.66593	img_PhysXCar__0_1715786191989438500.png
PhysXCar	1715786196312	20.4836	-9.4788	-0.720469	0.997005	-0.00523767	0.000543313	-0.0771561	0.5	0.381795	0	1	0	2013.61	4.70123	img_PhysXCar__0_1715786196304955800.png
PhysXCar	1715786200337	3.38522	-1.0596	-0.719592	0.976847	0.00586515	-0.00102319	-0.213858	0.5	-0.188292	0	1	0	1992.73	4.47323	img_PhysXCar__0_1715786200336454700.png
