VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1715609552836	0.699569	-0.116208	-0.732241	0.999899	-0.00879012	0.000721553	-0.0111778	0.5	-1.45761	0	1	0	1739.34	3.68318	img_PhysXCar__0_1715609552834478900.png
PhysXCar	1715609557010	1.81056	-0.227418	-0.723315	0.99925	-0.002124	0.000574933	-0.0386573	0.5	-1.52627	0	1	0	1758.35	3.84957	img_PhysXCar__0_1715609557009370900.png
PhysXCar	1715609561297	2.93962	-0.509257	-0.720521	0.995034	0.00333707	-0.000112874	-0.0994756	0.5	-1.46871	0	1	0	1799.6	3.92625	img_PhysXCar__0_1715609561296022700.png
PhysXCar	1715609565617	4.00701	-1.03284	-0.719557	0.981288	0.00565231	-0.00121086	-0.192456	0.5	-1.00377	0	1	0	1846.37	3.93655	img_PhysXCar__0_1715609565616670300.png
PhysXCar	1715609569984	4.95361	-1.79411	-0.719157	0.956302	0.00506664	-0.001555	-0.292334	0.5	-0.103082	0	1	0	1870.46	4.17172	img_PhysXCar__0_1715609569983399800.png
PhysXCar	1715609574471	5.90852	-2.62607	-0.718882	0.943152	0.00132095	-0.000248157	-0.332359	0.5	0.264657	0	1	0	1885.52	4.32893	img_PhysXCar__0_1715609574466654900.png
PhysXCar	1715609578827	6.96036	-3.39597	-0.718531	0.949652	-0.00190261	0.000782464	-0.313299	0.5	0.501419	0	1	0	1909.13	4.40512	img_PhysXCar__0_1715609578825824700.png
PhysXCar	1715609583191	8.12262	-4.03685	-0.718238	0.964928	-0.00347608	0.00102189	-0.26249	0.5	0.254524	0	1	0	1934.12	4.49422	img_PhysXCar__0_1715609583189819100.png
PhysXCar	1715609587564	9.34034	-4.63333	-0.718065	0.971688	-0.00103936	0.000456249	-0.236264	0.5	-0.133402	0	1	0	1952.77	4.58197	img_PhysXCar__0_1715609587561995900.png
PhysXCar	1715609591888	10.5211	-5.34229	-0.717954	0.964718	0.00233061	-0.000487874	-0.263275	0.5	-0.239755	0	1	0	1972.4	4.64112	img_PhysXCar__0_1715609591886098700.png
PhysXCar	1715609596217	11.6781	-6.12769	-0.71788	0.958413	0.00112295	-0.000155764	-0.285383	0.5	0.131691	0	1	0	1988.67	4.71002	img_PhysXCar__0_1715609596216417800.png
PhysXCar	1715609600530	12.91	-6.82334	-0.717952	0.966276	-0.00223363	0.000778437	-0.257499	0.5	0.391039	0	1	0	2006.56	4.72931	img_PhysXCar__0_1715609600528372500.png
PhysXCar	1715609604809	14.221	-7.38817	-0.718172	0.976877	-0.00252268	0.000875097	-0.213787	0.5	0.147241	0	1	0	2019.13	4.80703	img_PhysXCar__0_1715609604796150700.png
PhysXCar	1715609609056	15.5461	-7.96457	-0.718689	0.977965	0.000314778	0.00026765	-0.208767	0.5	-0.230852	0	1	0	2030.29	4.8478	img_PhysXCar__0_1715609609054702900.png
PhysXCar	1715609613315	16.8586	-8.59913	-0.719192	0.975926	0.000304699	0.000257496	-0.218102	0.5	0.162866	0	1	0	2040.73	4.88988	img_PhysXCar__0_1715609613313397400.png
PhysXCar	1715609617554	18.2279	-9.12642	-0.719671	0.982534	-0.00246529	0.000715105	-0.186068	0.5	0.834325	0	1	0	2053.54	4.88634	img_PhysXCar__0_1715609617552793300.png
PhysXCar	1715609621737	19.6606	-9.43754	-0.720181	0.993117	-0.00507207	0.000702004	-0.117017	0.5	0.774829	0	1	0	2068.25	4.83552	img_PhysXCar__0_1715609621735650700.png
PhysXCar	1715609625809	0.329341	-0.198958	-0.720031	0.975655	0.000181346	0.000309171	-0.21931	0.5	-0.0785796	0	1	0	2061.59	4.59956	img_PhysXCar__0_1715609625808266400.png
