VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1715786316067	6.70948	-2.95983	-0.718787	0.955454	0.00109085	0.000275147	-0.295138	0.5	-0.103109	0	1	0	1483.08	3.14067	img_PhysXCar__0_1715786316066455600.png
PhysXCar	1715786321170	7.48458	-3.51977	-0.718515	0.95337	0.000151962	0.000483564	-0.301804	0.5	0.0612495	0	1	0	1558.84	3.37133	img_PhysXCar__0_1715786321169247900.png
PhysXCar	1715786325863	8.34373	-4.07482	-0.71832	0.957427	-0.000947485	0.00075346	-0.288674	0.5	0.199229	0	1	0	1627.25	3.56315	img_PhysXCar__0_1715786325856317300.png
PhysXCar	1715786330631	9.28683	-4.60393	-0.718145	0.964183	-0.00105375	0.000749	-0.265234	0.5	0.0892937	0	1	0	1686.25	3.75189	img_PhysXCar__0_1715786330626221500.png
PhysXCar	1715786335516	10.2743	-5.16457	-0.718043	0.965703	0.000230118	0.000374252	-0.259648	0.5	-0.0601155	0	1	0	1737.44	3.91532	img_PhysXCar__0_1715786335512664100.png
PhysXCar	1715786340276	11.2827	-5.78368	-0.717966	0.963266	0.000786794	0.000170666	-0.268547	0.5	-0.0388102	0	1	0	1783.04	4.06178	img_PhysXCar__0_1715786340275199300.png
PhysXCar	1715786344789	12.3282	-6.42434	-0.717925	0.962905	2.72157e-05	0.000362602	-0.269841	0.5	0.0601915	0	1	0	1823.65	4.1904	img_PhysXCar__0_1715786344787297500.png
PhysXCar	1715786349174	13.4352	-7.03154	-0.718089	0.967751	-0.00137827	0.000769205	-0.251906	0.5	0.206326	0	1	0	1860.77	4.29056	img_PhysXCar__0_1715786349167675000.png
PhysXCar	1715786353577	14.61	-7.5755	-0.718356	0.974638	-0.00169857	0.000842241	-0.223779	0.5	0.137201	0	1	0	1892.17	4.39568	img_PhysXCar__0_1715786353575048100.png
PhysXCar	1715786357935	15.8208	-8.11319	-0.71883	0.977001	-7.55856e-05	0.000469235	-0.213234	0.5	0.13213	0	1	0	1918.75	4.48265	img_PhysXCar__0_1715786357929505900.png
PhysXCar	1715786362682	17.069	-8.62876	-0.719288	0.980145	-0.000804065	0.000583903	-0.198278	0.5	0.0753847	0	1	0	1942.3	4.57001	img_PhysXCar__0_1715786362679576000.png
PhysXCar	1715786367342	18.3607	-9.09687	-0.719744	0.984336	-0.00165747	0.000661317	-0.176292	0.5	0.604553	0	1	0	1966.02	4.613	img_PhysXCar__0_1715786367341122900.png
PhysXCar	1715786371757	19.7141	-9.39592	-0.720235	0.992817	-0.00400631	0.000722595	-0.119573	0.5	0.663227	0	1	0	1990.49	4.60697	img_PhysXCar__0_1715786371755683100.png
PhysXCar	1715786375920	21.1081	-9.48157	-0.720736	0.998747	-0.0039983	0.000487281	-0.0498801	0.5	-0.023056	0	1	0	2002.97	4.7219	img_PhysXCar__0_1715786375917475900.png
PhysXCar	1715786380139	22.5247	-9.58285	-0.72132	0.999112	0.000276984	0.000337553	-0.0421404	0.5	-0.655681	0	1	0	2012.3	4.77675	img_PhysXCar__0_1715786380133996200.png
PhysXCar	1715786384896	4.23326	-1.35058	-0.719338	0.973157	0.0102127	-0.00258595	-0.229901	0.5	-0.65234	0	1	0	2012.66	4.54429	img_PhysXCar__0_1715786384894641200.png
