VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1714405489634	7.75661	-3.12278	-0.718181	0.981876	-1.02761e-05	-0.000666073	-0.189522	0.5	-0.510623	0	1	0	458.307	0.695169	img_PhysXCar__0_1714405489633449100.png
PhysXCar	1714405494169	7.94101	-3.2189	-0.718229	0.980275	0.000321337	-0.000411429	-0.197636	0.5	-0.464391	0	1	0	860.125	0.803869	img_PhysXCar__0_1714405494168083400.png
PhysXCar	1714405498500	8.16666	-3.36968	-0.71843	0.976083	0.000831553	0.000353695	-0.217394	0.5	-0.477097	0	1	0	997.035	1.2649	img_PhysXCar__0_1714405498497923300.png
PhysXCar	1714405502888	8.50434	-3.62174	-0.718511	0.968797	0.00120427	0.000772338	-0.24785	0.5	-0.447448	0	1	0	1061.73	1.81561	img_PhysXCar__0_1714405502886154700.png
PhysXCar	1714405507414	8.9525	-3.98267	-0.718405	0.95944	0.0011682	0.000695099	-0.28191	0.5	-0.308777	0	1	0	1176.49	2.23253	img_PhysXCar__0_1714405507412114500.png
PhysXCar	1714405511828	9.49178	-4.4187	-0.718261	0.952196	0.000615063	0.000733616	-0.305486	0.5	-0.0958166	0	1	0	1287.27	2.58398	img_PhysXCar__0_1714405511821895800.png
PhysXCar	1714405516337	10.1275	-4.89215	-0.718155	0.950947	-0.000198894	0.000872762	-0.309352	0.5	0.0848253	0	1	0	1387.41	2.87497	img_PhysXCar__0_1714405516319389800.png
PhysXCar	1714405520815	10.8599	-5.37568	-0.718073	0.955006	-0.000688916	0.000900239	-0.296583	0.5	0.142668	0	1	0	1477.02	3.12878	img_PhysXCar__0_1714405520812907200.png
PhysXCar	1714405525354	11.6744	-5.8707	-0.717999	0.959837	-0.000530974	0.000762526	-0.280556	0.5	0.0897937	0	1	0	1555.05	3.36112	img_PhysXCar__0_1714405525350570800.png
PhysXCar	1714405529852	12.5507	-6.39458	-0.71801	0.962325	-4.11559e-05	0.000597749	-0.271901	0.5	0.136227	0	1	0	1623.37	3.56232	img_PhysXCar__0_1714405529850452100.png
PhysXCar	1714405534409	13.4975	-6.91426	-0.71815	0.966681	-0.000689161	0.000795323	-0.255983	0.5	0.105386	0	1	0	1683.19	3.74497	img_PhysXCar__0_1714405534407910900.png
PhysXCar	1714405538825	14.5052	-7.43282	-0.718358	0.970391	-0.000694345	0.00080045	-0.241536	0.5	0.130244	0	1	0	1735.72	3.9041	img_PhysXCar__0_1714405538824555200.png
PhysXCar	1714405543232	15.572	-7.93876	-0.718766	0.97399	-0.000507893	0.000710477	-0.226591	0.5	0.234952	0	1	0	1781.71	4.04651	img_PhysXCar__0_1714405543231031600.png
PhysXCar	1714405547505	16.7008	-8.40564	-0.71917	0.979226	-0.00133924	0.000803403	-0.202764	0.5	0.136389	0	1	0	1822.54	4.1744	img_PhysXCar__0_1714405547503734700.png
PhysXCar	1714405551823	17.8899	-8.81464	-0.719581	0.98494	-0.00200178	0.000797368	-0.172883	0.5	0.519671	0	1	0	1861	4.24975	img_PhysXCar__0_1714405551820623300.png
PhysXCar	1714405556060	19.1484	-9.05327	-0.720025	0.993813	-0.00402958	0.000754945	-0.11099	0.5	0.488218	0	1	0	1896.78	4.31314	img_PhysXCar__0_1714405556059395600.png
PhysXCar	1714405560189	20.4536	-9.15879	-0.72052	0.998186	-0.00226387	0.000582873	-0.0601675	0.5	-0.162245	0	1	0	1917.49	4.45405	img_PhysXCar__0_1714405560188229700.png
PhysXCar	1714405564446	21.781	-9.34478	-0.721067	0.997535	0.00139025	0.000319183	-0.0701492	0.5	-0.516785	0	1	0	1938.65	4.5237	img_PhysXCar__0_1714405564440662300.png
PhysXCar	1714405568582	23.0966	-9.68789	-0.721518	0.993047	0.00364637	-0.000139181	-0.117658	0.5	-0.347761	0	1	0	1962.1	4.57544	img_PhysXCar__0_1714405568578539000.png
PhysXCar	1714405572773	24.404	-10.1342	-0.722021	0.988535	0.00156127	0.000146108	-0.150983	0.5	0.0296149	0	1	0	1977.12	4.6699	img_PhysXCar__0_1714405572765085600.png
PhysXCar	1714405576885	25.7556	-10.513	-0.722521	0.990613	-0.00138572	0.000556373	-0.136688	0.5	0.211143	0	1	0	1993.69	4.72121	img_PhysXCar__0_1714405576882764000.png
PhysXCar	1714405580906	27.1479	-10.7976	-0.722823	0.994158	-0.00177949	0.00046674	-0.107917	0.5	0.0176083	0	1	0	2008.64	4.78687	img_PhysXCar__0_1714405580904434100.png
PhysXCar	1714405584878	28.5525	-11.1053	-0.723071	0.994154	-4.44134e-05	0.000178094	-0.107974	0.5	0.132991	0	1	0	2021.94	4.82835	img_PhysXCar__0_1714405584877076000.png
PhysXCar	1714405588867	29.985	-11.3373	-0.723104	0.996461	-0.00160733	0.000291313	-0.0840349	0.5	0.129502	0	1	0	2034.19	4.87282	img_PhysXCar__0_1714405588865994200.png
