VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1715786479484	0.637355	-0.603201	-0.732255	0.917673	0.00526647	-0.0020285	-0.397296	0.5	1.77116	0	1	0	1923.76	4.44282	img_PhysXCar__0_1715786479473848400.png
PhysXCar	1715786484035	1.65013	-1.47638	-0.72316	0.933918	-0.000378213	0.000265716	-0.357486	0.5	1.90894	0	1	0	1946.05	4.47987	img_PhysXCar__0_1715786484033830100.png
PhysXCar	1715786488629	2.80689	-2.16898	-0.720276	0.958901	-0.00479828	0.00130573	-0.283698	0.5	1.58042	0	1	0	1972.63	4.46007	img_PhysXCar__0_1715786488622899800.png
PhysXCar	1715786493062	4.0928	-2.56404	-0.719253	0.984531	-0.00737799	0.000890958	-0.175054	0.5	0.824731	0	1	0	1997.68	4.44737	img_PhysXCar__0_1715786493051788100.png
PhysXCar	1715786497636	5.44881	-2.6896	-0.7189	0.997055	-0.00553292	0.000320253	-0.0764877	0.5	-0.558042	0	1	0	2000.31	4.63055	img_PhysXCar__0_1715786497631035600.png
PhysXCar	1715786502110	6.84385	-2.78222	-0.718629	0.99894	-0.000932251	0.000134061	-0.0460201	0.5	-1.993	0	1	0	2002.25	4.72627	img_PhysXCar__0_1715786502106007700.png
PhysXCar	1715786506554	8.2491	-2.98565	-0.718318	0.997572	0.00220767	-0.000101479	-0.0696141	0.5	-2.40024	0	1	0	2014.19	4.75671	img_PhysXCar__0_1715786506552805200.png
PhysXCar	1715786510955	9.62094	-3.38195	-0.718071	0.991495	0.00450404	-0.000648078	-0.130066	0.5	-2.22379	0	1	0	2031.52	4.73515	img_PhysXCar__0_1715786510951584100.png
PhysXCar	1715786515719	10.8774	-4.04948	-0.717867	0.974457	0.00655049	-0.00177838	-0.224471	0.5	-1.67223	0	1	0	2050.42	4.66213	img_PhysXCar__0_1715786515717677500.png
PhysXCar	1715786520378	11.8922	-5.02066	-0.71772	0.937389	0.00807765	-0.00359065	-0.348172	0.5	-0.6263	0	1	0	2065.04	4.64029	img_PhysXCar__0_1715786520375511700.png
PhysXCar	1715786525031	12.6862	-6.19548	-0.71783	0.895982	0.00540068	-0.00275628	-0.444049	0.5	0.981755	0	1	0	2056.77	4.80801	img_PhysXCar__0_1715786525027328300.png
PhysXCar	1715786529548	13.4568	-7.42432	-0.718039	0.880951	0.00114545	-0.000331454	-0.473207	0.5	2.10993	0	1	0	2051.35	4.87753	img_PhysXCar__0_1715786529546337700.png
PhysXCar	1715786534089	14.3531	-8.58037	-0.716504	0.896499	-0.00346069	0.000993155	-0.443032	0.5	2.69931	0	1	0	2057.24	4.88314	img_PhysXCar__0_1715786534085179700.png
PhysXCar	1715786538585	15.4153	-9.57248	-0.698818	0.926022	-0.0198886	-0.00113335	-0.376945	0.5	2.82302	0	1	0	2065.77	4.82818	img_PhysXCar__0_1715786538583175000.png
PhysXCar	1715786543161	16.6815	-10.2936	-0.667038	0.961175	-0.0376898	0.011097	-0.273129	0.5	2.83259	0	1	0	2087.84	4.70862	img_PhysXCar__0_1715786543153898600.png
PhysXCar	1715786547631	18.0476	-10.6174	-0.662352	0.988532	-0.0544991	0.00818494	-0.140595	0.5	1.81424	0	1	0	2088.24	4.61307	img_PhysXCar__0_1715786547620953900.png
PhysXCar	1715786551996	19.4377	-10.5523	-0.720959	0.999877	-0.0156733	-0.000193071	-0.00100476	0.5	0.776748	0	1	0	2077.86	4.71413	img_PhysXCar__0_1715786551992141200.png
PhysXCar	1715786556147	20.8274	-10.1719	-0.722044	0.994487	-0.00225862	-0.000581093	0.10483	0.5	-0.774189	0	1	0	2074.5	4.88074	img_PhysXCar__0_1715786556145561600.png
PhysXCar	1715786559680	5.07707	-1.49596	-0.719681	0.972225	0.00849992	-0.00175429	-0.233888	0.5	-1.61448	0	1	0	1956.95	3.69887	img_PhysXCar__0_1715786559675396300.png
