VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1715561665359	0.514457	-0.536886	-0.741818	0.922494	0.00359511	-0.00116176	-0.385992	0.5	1.38848	0	1	0	1747.48	3.82944	img_PhysXCar__0_1715561665356861200.png
PhysXCar	1715561668153	1.08985	-1.04712	-0.72924	0.929369	0.000583342	0.000121033	-0.369152	0.5	1.5787	0	1	0	1770.85	3.92854	img_PhysXCar__0_1715561668151310300.png
PhysXCar	1715561672419	2.0652	-1.72276	-0.722036	0.94849	-0.00308608	0.00120028	-0.31679	0.5	1.52089	0	1	0	1813.47	4.00127	img_PhysXCar__0_1715561672417744100.png
PhysXCar	1715561676745	3.17766	-2.19965	-0.719938	0.972906	-0.00541089	0.00117814	-0.231136	0.5	1.08647	0	1	0	1859.05	4.01131	img_PhysXCar__0_1715561676744079900.png
PhysXCar	1715561681056	4.38906	-2.40473	-0.719232	0.992252	-0.00595944	0.000629911	-0.124094	0.5	0.230085	0	1	0	1887.52	4.19195	img_PhysXCar__0_1715561681055115900.png
PhysXCar	1715561685818	5.6601	-2.51926	-0.718951	0.99765	-0.00219999	0.000324927	-0.0684797	0.5	-0.968793	0	1	0	1899.67	4.36725	img_PhysXCar__0_1715561685811475500.png
PhysXCar	1715561690297	6.95672	-2.72967	-0.718633	0.996688	0.00183951	-2.28375e-06	-0.0813038	0.5	-1.92718	0	1	0	1919.81	4.43839	img_PhysXCar__0_1715561690296112300.png
PhysXCar	1715561694638	8.2326	-3.12202	-0.718298	0.990674	0.00405391	-0.000556277	-0.13619	0.5	-1.91429	0	1	0	1946.79	4.45832	img_PhysXCar__0_1715561694636825800.png
PhysXCar	1715561699067	9.41339	-3.7603	-0.718044	0.97449	0.00590847	-0.00154276	-0.224347	0.5	-1.35239	0	1	0	1975.77	4.42309	img_PhysXCar__0_1715561699065922100.png
PhysXCar	1715561703494	10.3963	-4.67207	-0.717877	0.94177	0.00679804	-0.00269274	-0.336179	0.5	-0.417812	0	1	0	1994.15	4.51185	img_PhysXCar__0_1715561703489933300.png
PhysXCar	1715561707892	11.2749	-5.72655	-0.7179	0.915265	0.00341274	-0.00138521	-0.402835	0.5	0.787163	0	1	0	1994.44	4.6671	img_PhysXCar__0_1715561707890196400.png
PhysXCar	1715561712312	12.2081	-6.77509	-0.717875	0.914522	-0.000642283	0.000490068	-0.404536	0.5	1.49717	0	1	0	2001.68	4.72577	img_PhysXCar__0_1715561712311597300.png
PhysXCar	1715561716767	13.2615	-7.72634	-0.718022	0.930954	-0.00311923	0.0014326	-0.365121	0.5	1.73542	0	1	0	2017.29	4.73123	img_PhysXCar__0_1715561716762546300.png
PhysXCar	1715561721218	14.4646	-8.4831	-0.718307	0.95678	-0.00540868	0.00171012	-0.290758	0.5	1.54128	0	1	0	2036.22	4.68489	img_PhysXCar__0_1715561721216758300.png
PhysXCar	1715561725623	15.8031	-8.92622	-0.718724	0.98345	-0.00767179	0.0012057	-0.181014	0.5	0.98585	0	1	0	2055.54	4.58613	img_PhysXCar__0_1715561725621424500.png
PhysXCar	1715561730077	17.2068	-9.01611	-0.719239	0.998009	-0.00706907	0.0004252	-0.0626688	0.5	0.332231	0	1	0	2054.47	4.75368	img_PhysXCar__0_1715561730075573000.png
PhysXCar	1715561734146	0.407642	-0.0800424	-0.726073	0.929351	0.00409866	-0.00113064	-0.369173	0.5	-0.489162	0	1	0	1968.76	3.68245	img_PhysXCar__0_1715561734145543000.png
